instituto,data_inicio,data_fim,amostra,margem,Bolsonaro,Lula,Gomes,Tebet,Thronicke,D'Avila,Eymael,Manzano,Péricles,Salgado,Kelmon,Indefinidos,Marçal,Outros
Globo/IPEC,2022-09-09,2022-09-11,2512,2.0,31.0,46.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,,
Datafolha,2022-09-08,2022-09-09,2276,2.0,34.0,45.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,
Abrapel/Ipespe,2022-09-07,2022-09-09,1100,3.0,36.0,44.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Futura,2022-09-05,2022-09-06,2000,2.2,41.8,35.7,7.7,5.4,0.7,0.2,0.1,0.2,0.2,0.2,,7.3,0.5,
PoderData,2022-09-04,2022-09-06,3500,2.0,37.0,43.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Paraná Pesquisas,2022-08-31,2022-09-05,2020,2.2,36.4,40.2,7.3,4.1,0.6,0.3,0.0,0.1,0.1,0.3,0.1,11.0,0.5,
Globo/IPEC,2022-09-02,2022-09-04,2512,2.0,31.0,44.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,
BTG Pactual/FSB,2022-09-02,2022-09-04,2000,2.0,34.0,42.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,
Quaest,2022-09-01,2022-09-04,2000,2.0,34.0,44.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,
Instituto Veritá,2022-08-27,2022-09-02,21019,2.0,43.6,41.9,5.5,3.6,0.3,0.5,0.2,0.1,0.1,0.2,0.1,3.5,0.5,
XP/Ipespe,2022-08-31,2022-09-01,1100,3.0,35.0,44.0,9.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Datafolha,2022-08-30,2022-09-01,5734,2.0,32.0,45.0,9.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,
Gerp,2022-08-29,2022-09-01,2095,2.18,39.0,38.0,11.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,
