cenario,instituto,data_inicio,data_fim,amostra,margem,Lula,Flávio,Indefinidos,Cury,Renan,Caiado,Zema,Bolsonaro,Michelle,Tarcísio,Eduardo,Ratinho,Gomes,Leite,Marçal,Lima,Tereza C.,Barbosa,Neves,Rebelo,Marinho,Nogueira,Alckmin,Haddad
Lula e Zema,AtlasIntel,2026-02-19,2026-02-24,,1.0,46.0,,12.3,,,,41.7,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2026-02-19,2026-02-24,,1.0,47.3,,7.3,,,,,45.4,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-02-03,2026-02-07,,2.2,42.4,48.2,9.4,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-02-03,2026-02-07,,2.2,43.1,,14.6,,,42.3,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-02-03,2026-02-07,,2.2,43.3,,14.3,,,,42.4,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2026-02-03,2026-02-07,,2.2,41.4,,11.2,,,,,,,47.4,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Paraná Pesquisas,2026-01-25,2026-01-28,,2.2,44.8,42.2,13.0,,,,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2026-01-25,2026-01-28,,2.2,43.9,,13.7,,,,,,,42.5,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2026-01-15,2026-01-20,,1.0,49.0,45.0,6.0,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-01-15,2026-01-20,,1.0,49.0,,12.0,,,39.0,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2026-01-15,2026-01-20,,1.0,49.0,,12.0,,,,39.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2026-01-15,2026-01-20,,1.0,49.0,,5.0,,,,,46.0,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-01-15,2026-01-19,,2.2,41.9,48.1,10.0,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-01-15,2026-01-19,,2.2,41.8,,16.3,,,42.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-01-15,2026-01-19,,2.2,42.8,,16.7,,,,40.5,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2026-01-15,2026-01-19,,2.2,41.3,,12.5,,,,,,,46.1,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Paraná Pesquisas,2025-12-18,2025-12-22,,2.2,44.1,41.0,14.9,,,,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2025-12-18,2025-12-22,,2.2,43.6,,13.0,,,,,43.4,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2025-12-10,2025-12-15,,1.0,53.0,41.0,6.0,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2025-12-10,2025-12-15,,1.0,49.0,,12.0,,,39.0,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2025-12-10,2025-12-15,,1.0,49.0,,12.0,,,,39.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-12-10,2025-12-15,,1.0,50.0,,4.0,,,,,46.0,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2025-12-03,2025-12-09,,2.0,42.1,41.6,16.3,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2025-12-03,2025-12-09,,2.0,39.6,,16.2,,,41.5,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2025-12-03,2025-12-09,,2.0,40.7,,19.4,,,,39.9,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2025-12-03,2025-12-09,,2.0,41.5,,12.7,,,,,,45.8,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Datafolha,2025-12-02,2025-12-04,,2.0,51.0,36.0,13.0,,,,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Datafolha,2025-12-02,2025-12-04,,2.0,49.0,,11.0,,,,,40.0,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2025-11-22,2025-11-27,,1.0,49.0,,10.0,,,41.0,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2025-11-22,2025-11-27,,1.0,49.0,,10.0,,,,41.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-11-22,2025-11-27,,1.0,48.0,,4.0,,,,,47.0,,,,,,,,,,,,,,,,
Lula e Caiado,MDA,2025-11-19,2025-11-23,,2.2,46.9,,19.4,,,33.7,,,,,,,,,,,,,,,,,,
Lula e Zema,MDA,2025-11-19,2025-11-23,,2.2,47.9,,18.6,,,,33.5,,,,,,,,,,,,,,,,,
Hipóteses com Lula,MDA,2025-11-19,2025-11-23,,2.2,49.2,,13.9,,,,,36.9,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Paraná Pesquisas,2025-11-06,2025-11-10,,2.2,45.4,38.6,16.0,,,,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2025-11-06,2025-11-10,,2.2,43.7,,13.2,,,,,43.1,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2025-11-04,2025-11-08,,2.2,39.0,,19.1,,,41.9,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2025-11-04,2025-11-08,,2.2,40.6,,20.7,,,,38.8,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2025-11-04,2025-11-08,,2.2,40.2,,13.1,,,,,46.6,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Paraná Pesquisas,2025-10-21,2025-10-24,,2.2,46.7,37.0,16.2,,,,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2025-10-21,2025-10-24,,2.2,44.9,,13.4,,,,,41.6,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2025-10-16,2025-10-21,,2.2,40.3,,21.1,,,38.6,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2025-10-16,2025-10-21,,2.2,42.0,,19.7,,,,38.3,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2025-10-16,2025-10-21,,2.2,41.3,,11.8,,,,,46.9,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2025-10-15,2025-10-19,,1.0,52.0,,12.0,,,36.0,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2025-10-15,2025-10-19,,1.0,52.0,,13.0,,,,35.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-10-15,2025-10-19,,1.0,52.0,,4.0,,,,,44.0,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2025-09-09,2025-09-15,,2.2,42.0,,11.9,,,,,46.1,,,,,,,,,,,,,,,,
Hipóteses com Haddad,Futura,2025-09-09,2025-09-15,,2.2,,,26.2,,,,,,,45.0,,,,,,,,,,,,,,28.8
Lula e Zema,AtlasIntel,2025-09-10,2025-09-14,,1.0,51.7,,11.6,,,,36.7,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-09-10,2025-09-14,,1.0,50.6,,4.2,,,,,,,45.2,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2025-09-10,2025-09-10,,1.0,51.7,,14.3,,,34.0,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-09-10,2025-09-10,,1.0,51.8,,3.4,,,,,44.8,,,,,,,,,,,,,,,,
Lula e Caiado,MDA,2025-09-03,2025-09-06,,2.2,44.8,,24.8,,,30.4,,,,,,,,,,,,,,,,,,
Lula e Zema,MDA,2025-09-03,2025-09-06,,2.2,45.0,,24.3,,,,30.7,,,,,,,,,,,,,,,,,
Hipóteses com Lula,MDA,2025-09-03,2025-09-06,,2.2,45.7,,16.6,,,,,37.7,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2025-08-20,2025-08-25,,1.0,46.7,,13.0,,,40.3,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2025-08-20,2025-08-25,,1.0,47.1,,12.0,,,,40.9,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-08-20,2025-08-25,,1.0,48.3,,3.4,,,,,48.3,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2025-08-17,2025-08-21,,2.2,41.5,,14.2,,,,,44.4,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Datafolha,2025-07-29,2025-07-30,,2.0,48.0,37.0,14.0,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Datafolha,2025-07-29,2025-07-30,,2.0,47.0,,19.0,,,35.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Datafolha,2025-07-29,2025-07-30,,2.0,46.0,,18.0,,,,36.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Datafolha,2025-07-29,2025-07-30,,2.0,47.0,,10.0,,,,,43.0,,,,,,,,,,,,,,,,
Hipóteses com Haddad,Datafolha,2025-07-29,2025-07-30,,2.0,,,20.0,,,,,,,43.0,,,,,,,,,,,,,,37.0
Lula e Caiado,AtlasIntel,2025-07-25,2025-07-28,,1.0,50.3,,10.0,,,39.7,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2025-07-25,2025-07-28,,1.0,50.7,,8.7,,,,40.6,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-07-25,2025-07-28,,1.0,50.1,,3.6,,,,,46.3,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2025-06-27,2025-06-30,,2.0,47.8,,17.0,,,35.3,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2025-06-27,2025-06-30,,2.0,48.0,,13.5,,,,38.6,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-06-27,2025-06-30,,2.0,47.8,,3.6,,,,,48.6,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2025-06-12,2025-06-23,,2.2,36.2,,24.6,,,39.2,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2025-06-12,2025-06-23,,2.2,37.6,,24.7,,,,37.7,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2025-06-12,2025-06-23,,2.2,37.4,,12.6,,,,,50.0,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Paraná Pesquisas,2025-06-18,2025-06-22,,2.2,42.1,38.4,19.4,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Paraná Pesquisas,2025-06-18,2025-06-22,,2.2,41.4,,25.1,,,33.5,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2025-06-18,2025-06-22,,2.2,39.7,,13.8,,,,,46.5,,,,,,,,,,,,,,,,
Hipóteses com Lula,MDA,2025-06-11,2025-06-15,,2.2,41.4,,14.7,,,,,43.9,,,,,,,,,,,,,,,,
Hipóteses com Haddad,MDA,2025-06-11,2025-06-15,,2.2,,,17.7,,,,,43.9,,,,,,,,,,,,,,,,38.4
Lula e Flávio Bolsonaro,Datafolha,2025-06-10,2025-06-11,,2.0,47.0,38.0,15.0,,,,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Datafolha,2025-06-10,2025-06-11,,2.0,44.0,,11.0,,,,,45.0,,,,,,,,,,,,,,,,
Hipóteses com Haddad,Datafolha,2025-06-10,2025-06-11,,2.0,,,14.0,,,,,45.0,,,,,,,,,,,,,,,,40.0
Lula e Caiado,Futura,2025-06-02,2025-06-04,,3.1,39.5,,25.4,,,35.1,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2025-06-02,2025-06-04,,3.1,39.9,,11.7,,,,,48.4,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2025-05-19,2025-05-23,,1.0,45.2,,18.7,,,36.1,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2025-05-19,2025-05-23,,1.0,45.2,,15.3,,,,39.5,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-05-19,2025-05-23,,1.0,45.5,,7.0,,,,,47.5,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2025-04-20,2025-04-24,,1.0,45.0,,18.7,,,36.3,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2025-04-20,2025-04-24,,1.0,45.6,,14.8,,,,39.5,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-04-20,2025-04-24,,1.0,48.5,,5.2,,,,,46.4,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2025-04-16,2025-04-19,,2.2,40.4,,13.6,,,,,46.0,,,,,,,,,,,,,,,,
Hipóteses com Lula,Datafolha,2025-04-01,2025-04-03,,2.0,49.0,,11.0,,,,,40.0,,,,,,,,,,,,,,,,
Hipóteses com Haddad,Datafolha,2025-04-01,2025-04-03,,2.0,,,14.0,,,,,41.0,,,,,,,,,,,,,,,,45.0
Lula e Caiado,AtlasIntel,2025-03-20,2025-03-24,,1.0,47.0,,16.0,,,37.0,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2025-03-20,2025-03-24,,1.0,44.0,,31.0,,,,25.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-03-20,2025-03-24,,1.0,46.0,,6.0,,,,,48.0,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2025-03-19,2025-03-22,,3.1,37.3,,24.9,,,37.8,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2025-03-19,2025-03-22,,3.1,37.3,,11.6,,,,,51.1,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2025-02-24,2025-02-27,,1.0,47.0,,14.0,,,39.0,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2025-02-24,2025-02-27,,1.0,47.0,,9.0,,,,43.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-02-24,2025-02-27,,1.0,48.0,,4.0,,,,,49.0,,,,,,,,,,,,,,,,
Hipóteses com Lula,MDA,2025-02-19,2025-02-23,,2.2,41.6,,15.0,,,,,43.4,,,,,,,,,,,,,,,,
Hipóteses com Haddad,MDA,2025-02-19,2025-02-23,,2.2,,,17.5,,,,,41.3,,,,,,,,,,,,,,,,39.4
Hipóteses com Lula,Paraná Pesquisas,2025-02-13,2025-02-16,,2.2,40.2,,14.7,,,,,45.1,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2025-01-27,2025-01-31,,2.0,47.4,,16.1,,,36.5,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2025-01-27,2025-01-31,,2.0,47.6,,9.0,,,,,43.4,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2025-01-07,2025-01-10,,2.2,42.2,,12.1,,,,,45.7,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2024-12-26,2024-12-31,,2.0,48.0,,17.0,,,35.0,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2024-12-26,2024-12-31,,2.0,49.0,,8.0,,,,,43.0,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2024-11-21,2024-11-25,,2.2,41.9,,16.4,,,,,43.7,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2024-08-14,2024-08-18,,2.2,42.3,,16.3,,,,,41.4,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2024-07-18,2024-07-22,,2.2,44.1,,13.0,,,,,41.9,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2024-04-27,2024-05-01,,2.2,41.7,,16.3,,,,,42.0,,,,,,,,,,,,,,,,
Lula e Caiado,Paraná Pesquisas,2024-03-18,2024-03-22,,2.2,44.9,,22.5,,,32.6,,,,,,,,,,,,,,,,,,
Lula e Zema,Paraná Pesquisas,2024-03-18,2024-03-22,,2.2,44.5,,20.8,,,,34.6,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2024-03-18,2024-03-22,,2.2,41.6,,16.7,,,,,41.7,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2024-01-24,2024-01-28,,2.2,43.9,,14.3,,,,,41.9,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2023-07-14,2023-07-17,,3.1,60.4,,10.9,,,,39.6,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2023-07-14,2023-07-17,,3.1,56.3,,7.3,,,,,43.7,,,,,,,,,,,,,,,,
