cenario,instituto,data_inicio,data_fim,amostra,margem,Lula,Flávio,Indefinidos,Cury,Renan,Caiado,Zema,Bolsonaro,Michelle,Tarcísio,Eduardo,Ratinho,Gomes,Leite,Marçal,Lima,Tereza C.,Barbosa,Neves,Rebelo,Marinho,Nogueira,Alckmin,Haddad
Lula e Caiado,Futura,2026-09-04,2026-09-10,2000,2.2,43.7,,13.6,,,42.8,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-09-04,2026-09-10,2000,2.2,46.0,,13.5,,,,40.5,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2026-09-04,2026-09-09,5000,1.0,46.2,46.4,7.4,,,,,,,,,,,,,,,,,,,,,
Lula e Augusto Cury,AtlasIntel,2026-09-04,2026-09-09,5000,1.0,43.8,,15.2,41.1,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,AtlasIntel,2026-09-04,2026-09-09,5000,1.0,46.0,,20.2,,33.8,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-09-04,2026-09-09,5000,1.0,45.7,,8.6,,,45.7,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2026-09-04,2026-09-09,5000,1.0,46.0,,7.7,,,,46.2,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Datafolha,2026-09-01,2026-09-02,2002,2.0,46.0,44.0,10.0,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Datafolha,2026-09-01,2026-09-02,2002,2.0,47.0,,15.0,,38.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Datafolha,2026-09-01,2026-09-02,2002,2.0,46.0,,13.0,,,41.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Datafolha,2026-09-01,2026-09-02,2002,2.0,48.0,,14.0,,,,39.0,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-08-27,2026-09-01,2000,2.2,45.6,45.2,9.2,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Futura,2026-08-27,2026-09-01,2000,2.2,46.6,,16.8,,36.6,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-08-27,2026-09-01,2000,2.2,44.4,,13.1,,,42.5,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-08-27,2026-09-01,2000,2.2,46.7,,14.9,,,,38.5,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Real Time Big Data,2026-08-27,2026-08-31,2000,2.0,44.0,44.0,12.0,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Real Time Big Data,2026-08-27,2026-08-31,2000,2.0,44.0,,19.0,,37.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Real Time Big Data,2026-08-27,2026-08-31,2000,2.0,43.0,,12.0,,,45.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Real Time Big Data,2026-08-27,2026-08-31,2000,2.0,43.0,,17.0,,,,40.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Real Time Big Data,2026-08-27,2026-08-31,2000,2.0,44.0,,16.0,,,,,,,,,,,,40.0,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2026-08-25,2026-08-30,5014,2.0,47.1,42.6,10.3,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,AtlasIntel,2026-08-25,2026-08-30,5014,2.0,47.5,,26.6,,26.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-08-25,2026-08-30,5014,2.0,46.6,,12.3,,,41.0,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2026-08-25,2026-08-30,5014,2.0,47.0,,12.3,,,,40.7,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2026-08-25,2026-08-30,5014,2.0,46.8,,9.1,,,,,44.1,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Datafolha,2026-08-18,2026-08-20,2058,2.0,47.0,43.0,11.0,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Datafolha,2026-08-18,2026-08-20,2058,2.0,47.0,,16.0,,37.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Datafolha,2026-08-18,2026-08-20,2058,2.0,47.0,,14.0,,,40.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Datafolha,2026-08-18,2026-08-20,2058,2.0,48.0,,14.0,,,,38.0,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,MDA,2026-08-05,2026-08-09,2002,2.2,48.0,39.1,12.9,,,,,,,,,,,,,,,,,,,,,
Lula e Augusto Cury,MDA,2026-08-05,2026-08-09,2002,2.2,48.6,,19.0,32.4,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,MDA,2026-08-05,2026-08-09,2002,2.2,48.5,,18.5,,33.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,MDA,2026-08-05,2026-08-09,2002,2.2,47.9,,16.2,,,35.9,,,,,,,,,,,,,,,,,,
Lula e Zema,MDA,2026-08-05,2026-08-09,2002,2.2,49.1,,16.0,,,,34.9,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-08-03,2026-08-07,2000,2.2,46.5,44.0,9.5,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Futura,2026-08-03,2026-08-07,2000,2.2,47.3,,19.4,,33.3,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-08-03,2026-08-07,2000,2.2,45.3,,15.4,,,39.2,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-08-03,2026-08-07,2000,2.2,46.5,,13.6,,,,39.8,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2026-07-22,2026-07-27,5021,1.0,49.2,42.9,7.9,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,AtlasIntel,2026-07-22,2026-07-27,5021,1.0,47.6,,22.2,,30.2,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-07-22,2026-07-27,5021,1.0,48.2,,12.9,,,38.9,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2026-07-22,2026-07-27,5021,1.0,48.6,,11.8,,,,39.6,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2026-07-22,2026-07-27,5021,1.0,49.2,,6.9,,,,,43.9,,,,,,,,,,,,,,,,
Hipóteses com Haddad,AtlasIntel,2026-07-22,2026-07-27,5021,1.0,,43.7,12.0,,,,,,,,,,,,,,,,,,,,,44.3
Lula e Flávio Bolsonaro,Datafolha,2026-07-22,2026-07-24,2004,2.0,48.0,43.0,10.0,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Datafolha,2026-07-22,2026-07-24,2004,2.0,47.0,,13.0,,,40.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Datafolha,2026-07-22,2026-07-24,2004,2.0,48.0,,12.0,,,,40.0,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Real Time Big Data,2026-07-18,2026-07-20,2000,2.0,45.0,42.0,13.0,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Real Time Big Data,2026-07-18,2026-07-20,2000,2.0,44.0,,21.0,,35.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Real Time Big Data,2026-07-18,2026-07-20,2000,2.0,43.0,,13.0,,,44.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Real Time Big Data,2026-07-18,2026-07-20,2000,2.0,44.0,,18.0,,,,38.0,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-07-07,2026-07-11,2000,2.2,46.3,46.1,7.6,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Futura,2026-07-07,2026-07-11,2000,2.2,46.4,,20.5,,33.1,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-07-07,2026-07-11,2000,2.2,45.1,,15.9,,,38.9,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-07-07,2026-07-11,2000,2.2,46.0,,15.9,,,,38.1,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2026-07-07,2026-07-11,2000,2.2,46.1,,9.6,,,,,,44.3,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2026-06-26,2026-06-30,4999,1.0,48.8,42.3,8.9,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,AtlasIntel,2026-06-26,2026-06-30,4999,1.0,49.2,,21.9,,29.8,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-06-26,2026-06-30,4999,1.0,48.0,,13.1,,,39.0,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2026-06-26,2026-06-30,4999,1.0,48.2,,13.3,,,,38.5,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2026-06-26,2026-06-30,4999,1.0,48.6,,8.3,,,,,43.1,,,,,,,,,,,,,,,,
Hipóteses com Haddad,AtlasIntel,2026-06-26,2026-06-30,4999,1.0,,42.8,10.7,,,,,,,,,,,,,,,,,,,,,46.4
Lula e Flávio Bolsonaro,Datafolha,2026-06-17,2026-06-19,2004,2.0,47.0,43.0,9.0,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Datafolha,2026-06-17,2026-06-19,2004,2.0,47.0,,12.0,,,41.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Datafolha,2026-06-17,2026-06-17,2004,2.0,48.0,,13.0,,,,39.0,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,MDA,2026-06-10,2026-06-14,2002,2.2,49.3,36.8,13.9,,,,,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-06-08,2026-06-12,2000,2.2,48.1,42.9,10.0,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Futura,2026-06-08,2026-06-12,2000,2.2,48.3,,20.9,,30.8,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-06-08,2026-06-12,2000,2.2,45.0,,18.7,,,36.3,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-06-08,2026-06-12,2000,2.2,48.5,,16.6,,,,34.9,,,,,,,,,,,,,,,,,
